type,name,aliases,detailsDefault
TV,TV Globo,"globo,tv globo,rede globo,ge tv","Transmissão em TV aberta, sujeita à praça local."
TV,SporTV,"sportv,sportv2,sportv 2","TV fechada para assinantes."
TV,Premiere,"premiere,canal premiere,pay-per-view,ppv","Pay-per-view para assinantes."
TV,ESPN,"espn,espn brasil","Canal de TV fechada."
Streaming,Globoplay,"globoplay,globoplay canais,globoplay + canais","Streaming mediante assinatura compatível."
Streaming,Disney+,"disney+,disney plus,star+","Streaming mediante assinatura."
Streaming,Prime Video,"prime video,amazon prime video","Streaming mediante assinatura."
Streaming,Paramount+,"paramount+,paramount plus","Streaming mediante assinatura."
Streaming,YouTube,"youtube,canal youtube,ao vivo no youtube","Transmissão online quando disponível."
Rádio,Rádio Itatiaia,"itatiaia,rádio itatiaia,radio itatiaia","Narração ao vivo em rádio e internet."
Rádio,Rádio Gaúcha,"gauchazh,rádio gaúcha,radio gaucha","Cobertura ao vivo via rádio e internet."
Rádio,Rádio Bandeirantes,"rádio bandeirantes,radio bandeirantes,bandnews","Cobertura esportiva ao vivo."
Casa de aposta,Betano,"betano","Possível transmissão em plataforma de aposta. Verificar autorização, idade mínima e disponibilidade regional."
Casa de aposta,bet365,"bet365","Possível transmissão em plataforma de aposta. Verificar autorização, idade mínima e disponibilidade regional."
Casa de aposta,Sportingbet,"sportingbet","Possível transmissão em plataforma de aposta. Verificar autorização, idade mínima e disponibilidade regional."
